run,Selection_Threshold,VIF_Threshold,PCA_n_Components,colinearity_threshold,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
1,0.014,20,60,0.75,0.996,0.9067,0.9036,0.9303,0.9326,0.9306
2,0.014,20,60,0.75,0.9979,0.8972,0.8911,0.9215,0.9258,0.9215
3,0.014,20,60,0.75,0.9971,0.9182,0.916,0.939,0.9408,0.9386
1,0.014,20,60,0.8,0.9963,0.9055,0.9028,0.9285,0.9309,0.9283
2,0.014,20,60,0.8,0.9977,0.8937,0.8893,0.9204,0.9251,0.9204
3,0.014,20,60,0.8,0.9963,0.9133,0.9118,0.936,0.9376,0.9352
1,0.014,20,60,0.85,0.9968,0.9031,0.9016,0.9265,0.9288,0.9261
2,0.014,20,60,0.85,0.9977,0.895,0.8913,0.9215,0.9261,0.9215
3,0.014,20,60,0.85,0.9958,0.9098,0.9092,0.9349,0.9368,0.934
1,0.014,20,70,0.75,0.997,0.918,0.9164,0.9368,0.9383,0.9363
2,0.014,20,70,0.75,0.9981,0.8978,0.8932,0.9224,0.9275,0.9226
3,0.014,20,70,0.75,0.9975,0.9195,0.9175,0.9392,0.9406,0.9386
1,0.014,20,70,0.8,0.9963,0.9217,0.9205,0.9392,0.9409,0.9386
2,0.014,20,70,0.8,0.9977,0.8965,0.8915,0.9216,0.9259,0.9215
3,0.014,20,70,0.8,0.9964,0.9106,0.9098,0.9338,0.9358,0.9329
1,0.014,20,70,0.85,0.9963,0.9184,0.9162,0.9369,0.9388,0.9363
2,0.014,20,70,0.85,0.9977,0.8958,0.8915,0.9216,0.9259,0.9215
3,0.014,20,70,0.85,0.9964,0.9122,0.9116,0.9349,0.9368,0.934
1,0.014,20,80,0.75,0.997,0.9178,0.9162,0.9358,0.9372,0.9352
2,0.014,20,80,0.75,0.9981,0.8975,0.8923,0.9209,0.9255,0.9215
3,0.014,20,80,0.75,0.9972,0.9161,0.9129,0.938,0.9394,0.9374
1,0.014,20,80,0.8,0.9963,0.9193,0.9192,0.937,0.9385,0.9363
2,0.014,20,80,0.8,0.9977,0.8929,0.8886,0.9187,0.9237,0.9192
3,0.014,20,80,0.8,0.9968,0.9112,0.9097,0.9341,0.9366,0.9329
1,0.014,20,80,0.85,0.9963,0.9175,0.9174,0.9359,0.9376,0.9352
2,0.014,20,80,0.85,0.9977,0.8923,0.888,0.9189,0.9235,0.9192
3,0.014,20,80,0.85,0.9968,0.911,0.9097,0.9341,0.9366,0.9329
1,0.014,20,90,0.75,0.9966,0.9129,0.9108,0.9323,0.934,0.9317
2,0.014,20,90,0.75,0.9981,0.8956,0.8904,0.9197,0.9246,0.9204
3,0.014,20,90,0.75,0.9966,0.9156,0.9125,0.9368,0.9382,0.9363
1,0.014,20,90,0.8,0.9963,0.9194,0.9182,0.9369,0.9384,0.9363
2,0.014,20,90,0.8,0.9977,0.8953,0.89,0.9195,0.9253,0.9204
3,0.014,20,90,0.8,0.9964,0.9104,0.909,0.9343,0.9372,0.9329
1,0.014,20,90,0.85,0.9963,0.9191,0.9182,0.9369,0.9383,0.9363
2,0.014,20,90,0.85,0.9977,0.8948,0.89,0.9197,0.9252,0.9204
3,0.014,20,90,0.85,0.9964,0.9107,0.9096,0.9342,0.9368,0.9329
1,0.014,20,100,0.75,0.9967,0.9128,0.9098,0.9322,0.9341,0.9317
2,0.014,20,100,0.75,0.9981,0.8998,0.8959,0.9219,0.9266,0.9226
3,0.014,20,100,0.75,0.9968,0.9179,0.9156,0.9381,0.9395,0.9374
1,0.014,20,100,0.8,0.9963,0.9143,0.9108,0.9333,0.9354,0.9329
2,0.014,20,100,0.8,0.9977,0.8988,0.8949,0.9219,0.9269,0.9226
3,0.014,20,100,0.8,0.9964,0.9097,0.9082,0.9332,0.9363,0.9317
1,0.014,20,100,0.85,0.9963,0.9129,0.91,0.9323,0.9344,0.9317
2,0.014,20,100,0.85,0.9977,0.8996,0.8958,0.9231,0.928,0.9238
3,0.014,20,100,0.85,0.9964,0.9076,0.9059,0.9322,0.9355,0.9306
1,0.014,15,40,0.75,0.9956,0.9161,0.916,0.9359,0.9377,0.9352
2,0.014,15,40,0.75,0.9963,0.8929,0.8913,0.919,0.9239,0.9192
3,0.014,15,40,0.75,0.9967,0.9192,0.9185,0.9403,0.9419,0.9397
1,0.014,15,40,0.8,0.9953,0.9131,0.9119,0.9337,0.9357,0.9329
2,0.014,15,40,0.8,0.9957,0.8905,0.8898,0.9169,0.9213,0.917
3,0.014,15,40,0.8,0.9967,0.9166,0.9164,0.9393,0.9415,0.9386
1,0.014,15,40,0.85,0.9953,0.9131,0.9119,0.9337,0.9357,0.9329
2,0.014,15,40,0.85,0.9957,0.8905,0.8898,0.9169,0.9213,0.917
