,experiment_number,Selection Threshold,VIFThreshold,PCA_n_Components,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
69,3,0.014,25,100,0.9837608124557276,0.8824718412142528,0.8832914587254392,0.9116908402298171,0.9168810499529219,0.9112627986348123
70,3,0.014,20,40,0.9528462554766209,0.8648603893813286,0.8683218375670176,0.8961446406839552,0.8996852408011881,0.8953356086461889
71,3,0.014,20,50,0.9656394612088076,0.8535253699151932,0.8540133650268378,0.8882042673326361,0.8913641440875999,0.8873720136518771
72,3,0.014,20,60,0.9750294600064072,0.8794810354253997,0.8795858257515135,0.9069339594535504,0.9104889915729644,0.906712172923777
73,3,0.014,20,70,0.9793304536503389,0.8775128074639671,0.8795791410064567,0.9058772518230944,0.9094317580747113,0.9055745164960182
74,3,0.014,20,80,0.9815794161949399,0.8824854723096439,0.8839871766644923,0.9103189074838247,0.9132651194084641,0.9101251422070534
75,3,0.014,20,90,0.9840004717953756,0.8869512588144693,0.8882058316098915,0.913721831824614,0.9173110116014597,0.9135381114903299
76,3,0.014,20,100,0.986077616198209,0.882983261775746,0.8838900300557179,0.9106283038115933,0.9137797632910806,0.9101251422070534
77,3,0.014,15,40,0.957404900058774,0.8775887100669488,0.8796424039722897,0.9055212463425398,0.9098032277583334,0.9044368600682594
78,3,0.014,15,50,0.9680665918706115,0.8806030456746279,0.8818048726513494,0.9062343318675107,0.9099330314623639,0.9055745164960182
79,3,0.014,15,60,0.9731705076437535,0.8828429771180102,0.8840125408473897,0.9085182708234484,0.9143784333732938,0.9078498293515358
80,3,0.014,15,70,0.9775043523356819,0.8868578043988796,0.8883706229139233,0.9128089576542628,0.9165786740200984,0.9124004550625711
81,3,0.014,15,80,0.9803364827810573,0.8826177460274429,0.8853225566391129,0.9094035792778767,0.9151137460353058,0.9089874857792947
82,3,0.014,15,90,0.982088887877597,0.8814901639863422,0.8843050556216119,0.9085363445144933,0.9133963161415629,0.9078498293515358
83,3,0.014,15,100,0.986061942051449,0.8848158717133169,0.8880911059192902,0.9104072746962334,0.9145625190741077,0.9101251422070534
84,1,0.016,30,40,0.9499393524962123,0.8557128317290723,0.8612175861675967,0.8929158788557152,0.8976266918337594,0.8919226393629124
85,1,0.016,30,50,0.9609464896336702,0.8585146815560205,0.8638057874400084,0.8938625806210265,0.8979056703294811,0.8930602957906713
86,1,0.016,30,60,0.97207722239532,0.8677426373186143,0.8719245713101397,0.9001640018891296,0.903980018987602,0.8987485779294653
87,1,0.016,30,70,0.9745144210053,0.872166882123182,0.8740200152655301,0.9046674073454531,0.9079331384777106,0.9032992036405005
88,1,0.016,30,80,0.9783454805467768,0.8781985254328188,0.8806342055511082,0.9098771581542937,0.91262556394744,0.9089874857792947
89,1,0.016,30,90,0.9832002175920347,0.8759502360845125,0.8782916257287711,0.9083086155994226,0.9112410663668622,0.906712172923777
90,1,0.016,30,100,0.98639612673129,0.8747079373191254,0.8755524354746125,0.9075221835784927,0.9107449757919642,0.9055745164960182
91,1,0.016,25,40,0.951055181107345,0.8533861676017762,0.8616148530984783,0.8905408499752747,0.895727880514387,0.8896473265073948
92,1,0.016,25,50,0.9629197210743772,0.8553758598594908,0.861835657375072,0.8931285635667112,0.8975273793617154,0.8919226393629124
93,1,0.016,25,60,0.9671033468954152,0.8559946245341767,0.8598175452076254,0.8920580675665412,0.8958555272517567,0.8907849829351536
94,1,0.016,25,70,0.9739222718599952,0.8704386824206243,0.8725789036900525,0.9032836827908998,0.9065309471158813,0.9021615472127418
95,1,0.016,25,80,0.9761989427600787,0.8707542076809355,0.8725599333320991,0.9047784369062207,0.9083261419511625,0.9032992036405005
96,1,0.016,25,90,0.9815997411576963,0.8693421411922088,0.8696638337105048,0.9040020909469636,0.9077477814086127,0.9021615472127418
97,1,0.016,25,100,0.9855062622874715,0.8773727743086235,0.8769526631147188,0.9094267666824308,0.9130046926112427,0.9078498293515358
98,1,0.016,20,40,0.9484267717369546,0.8522805179563039,0.8590714211165733,0.8891250609497712,0.8934394906252847,0.888509670079636
99,1,0.016,20,50,0.9602231348339759,0.8495147545279246,0.8545203077876689,0.8874029842247896,0.8916487096468626,0.8862343572241184
100,1,0.016,20,60,0.9667213635592963,0.8545223389307348,0.8575601669530696,0.8904996550023027,0.8943735050161202,0.888509670079636
101,1,0.016,20,70,0.9720115333512683,0.8758417555383762,0.8770898418574101,0.9066887591636711,0.909459284601661,0.9055745164960182
102,1,0.016,20,80,0.9767530678349015,0.8734053392600327,0.8753536123124761,0.9049258538408299,0.9080266679168072,0.9032992036405005
103,1,0.016,20,90,0.9833893757484992,0.8746669853639306,0.8751678860009944,0.9061935548130391,0.9098421393186149,0.9044368600682594
104,1,0.016,20,100,0.9857910257717376,0.8762539866492686,0.8778623082701015,0.9081939137887018,0.911699631309345,0.906712172923777
105,1,0.016,15,40,0.951860016456616,0.8661852514741994,0.8703103874343234,0.898574476626316,0.9027105523750731,0.8976109215017065
106,1,0.016,15,50,0.9629139089990356,0.8688675373689863,0.8738048663966631,0.9010652099844713,0.9042942087147642,0.8998862343572241
107,1,0.016,15,60,0.9696358518768194,0.8766535294587231,0.8786119430505639,0.9078291240561119,0.9104910101420715,0.906712172923777
108,1,0.016,15,70,0.9748369868068776,0.8728525238175264,0.8733488260010953,0.9057621691680047,0.9088785607381606,0.9044368600682594
109,1,0.016,15,80,0.9840269419701673,0.8759059737010624,0.8767020481523514,0.9078696717884764,0.9105517895230161,0.906712172923777
110,1,0.016,15,90,0.9853508386802504,0.8763425261360275,0.8767886890868353,0.907350858534023,0.9100955008076929,0.906712172923777
111,1,0.016,15,100,0.9869599815760822,0.8703262432377327,0.8714785387108955,0.903615976422805,0.9063626224401502,0.9021615472127418
112,2,0.016,30,40,0.9471853498655063,0.8802679691390994,0.8832866346744356,0.9078041972877294,0.909984557882162,0.906712172923777
